species,longitude,latitude
religiosa,-155.9634821,19.59960233
religiosa,-155.9701389,19.594
religiosa,-155.928562,19.54247509
religiosa,-155.928648,19.54250268
religiosa,-155.9285289,19.54253039
religiosa,-155.9131064,19.49191103
religiosa,-155.8981389,19.4578056
religiosa,-155.8980278,19.4579444
religiosa,-155.8928056,19.4513611
religiosa,-155.8928611,19.4511111
religiosa,-155.8927778,19.4512778
religiosa,-155.8927778,19.4512778
religiosa,-155.8927778,19.4511667
religiosa,-155.8927778,19.4511111
religiosa,-155.8927778,19.4510833
religiosa,-155.89275,19.4510833
religiosa,-155.8927222,19.4510556
religiosa,-155.89275,19.4510278
religiosa,-155.89275,19.4510278
religiosa,-155.8928056,19.4510556
religiosa,-155.8923611,19.4513333
religiosa,-155.8922778,19.4512222
religiosa,-155.8920833,19.4508889
religiosa,-155.8920278,19.4508889
religiosa,-155.8920278,19.4509167
religiosa,-155.9044167,19.425
religiosa,-155.59025,19.0595556
religiosa,-155.5902477,19.05965086
religiosa,-155.5902503,19.0597844
religiosa,-155.5902197,19.05982847
religiosa,-155.5901944,19.0599167
religiosa,-155.5897778,19.0596667
religiosa,-155.5898056,19.05975
religiosa,-155.5897778,19.05975
religiosa,-155.5898056,19.05975
religiosa,-155.0396111,19.6245278
religiosa,-155.0390819,19.62491246
religiosa,-155.3732222,20.0411389
religiosa,-159.367397,21.9761102
religiosa,-159.367076,21.976124
religiosa,-159.367057,21.976129
religiosa,-159.367045,21.976145
religiosa,-159.367014,21.976256
religiosa,-159.366909,21.976264
religiosa,-159.366692,21.976339
religiosa,-159.3670556,21.9761389
religiosa,-159.3670278,21.97625
religiosa,-159.3670833,21.9761111
religiosa,-159.367038,21.975189
religiosa,-159.3669722,21.97625
religiosa,-159.367118,21.975894
religiosa,-159.3673611,21.9761667
religiosa,-159.3671944,21.9760278
religiosa,-159.3671111,21.9760833
religiosa,-159.3671667,21.9760278
religiosa,-159.3671667,21.9760833
religiosa,-159.3673889,21.9761667
religiosa,-159.3668056,21.9761944
religiosa,-159.36675,21.9760278
religiosa,-159.3648056,21.9768611
religiosa,-159.3645278,21.9768056
religiosa,-159.3682222,21.9751389
religiosa,-159.3671667,21.9758889
religiosa,-159.3674167,21.9760833
religiosa,-159.3675278,21.9764444
religiosa,-159.3675556,21.9764444
religiosa,-159.3675556,21.9764167
religiosa,-159.3675833,21.9764167
religiosa,-159.3670833,21.9765
religiosa,-159.3653889,21.9761667
religiosa,-159.3653611,21.9761944
religiosa,-159.365,21.9763611
religiosa,-159.3672222,21.9760556
religiosa,-159.36725,21.9760833
religiosa,-159.3671667,21.9761389
religiosa,-159.3671389,21.9761389
religiosa,-159.3670833,21.97625
religiosa,-159.3670278,21.9763056
religiosa,-159.367,21.9763056
religiosa,-159.3669444,21.97625
religiosa,-159.3668611,21.9762778
religiosa,-159.3667778,21.9763056
religiosa,-159.36675,21.9762778
religiosa,-159.3666389,21.9762222
